OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,DECADES,Shape__Area,Shape__Length,DURATION
78,2023,CA,CCO,KRN,ROCK,23-44588,2023-09-27 00:00:00+00:00,2023-09-27 00:00:00+00:00,Unknown Cause,1.0,1.0,13.71712,Crew 10,2020,82917.8359375,1781.1103614216,0
79,2023,CA,CCO,KRN,SKY,23-45999,2023-10-06 00:00:00+00:00,2023-10-06 00:00:00+00:00,Unknown Cause,1.0,1.0,4.440306,No Comments,2020,27030.42578125,1277.93106273961,0
80,2023,CA,CCO,KRN,LIERLY,23-46196,2023-10-07 00:00:00+00:00,2023-10-07 00:00:00+00:00,Unknown Cause,1.0,1.0,3.030688,No Comments,2020,18364.57421875,881.18766333832,0
81,2023,CA,CCO,KRN,ANNETTE,23-47880,2023-10-18 00:00:00+00:00,2023-10-18 00:00:00+00:00,Unknown Cause,1.0,1.0,5.226628,No Comments,2020,32146.07421875,860.348696807882,0
82,2023,CA,CCO,KRN,CREEK,23-49122,2023-10-26 00:00:00+00:00,2023-10-26 00:00:00+00:00,Unknown Cause,1.0,1.0,6.315729,No Comments,2020,38482.625,850.97167833716,0
83,2023,CA,CCO,KRN,SHERWOOD,23-49440,2023-10-28 00:00:00+00:00,2023-10-28 00:00:00+00:00,Unknown Cause,1.0,1.0,8.496378,No Comments,2020,52123.60546875,1176.99143915499,0
84,2023,CA,CCO,KRN,CROCKER,23-49527,2023-10-29 00:00:00+00:00,2023-10-29 00:00:00+00:00,Unknown Cause,1.0,1.0,8.202892,No Comments,2020,49831.3046875,1154.94838622602,0
85,2023,CA,CCO,KRN,BRONZE,23-49619,2023-10-29 00:00:00+00:00,2023-10-29 00:00:00+00:00,Unknown Cause,1.0,1.0,5.487661,No Comments,2020,33676.4765625,978.395090240878,0
86,2023,CA,CCO,KRN,KERN,23-50199,2023-11-02 00:00:00+00:00,2023-11-02 00:00:00+00:00,Unknown Cause,1.0,1.0,16.76435,No Comments,2020,102302.58984375,1533.5443995333,0
87,2023,CA,CCO,KRN,LINE,23-51193,2023-11-08 00:00:00+00:00,2023-11-08 00:00:00+00:00,Unknown Cause,1.0,1.0,86.2767,No Comments,2020,527799.0625,3885.53783423904,0
88,2023,CA,CCO,KRN,FIELD,23-51487,2023-11-10 00:00:00+00:00,2023-11-10 00:00:00+00:00,Unknown Cause,1.0,1.0,15.04139,No Comments,2020,92238.10546875,1413.35123886369,0
89,2023,CA,CCO,KRN,FANO,23-21349,2023-05-11 00:00:00+00:00,2023-05-11 00:00:00+00:00,Unknown Cause,6.0,1.0,3.00047,No Comments,2020,46223.17578125,1389.53120265833,0
90,2023,CA,CCO,KRN,FANO 2,23-53238,2023-11-21 00:00:00+00:00,2023-11-21 00:00:00+00:00,Unknown Cause,1.0,1.0,3.433622,No Comments,2020,21001.1953125,568.788494578366,0
91,2023,CA,CCO,KRN,FRONT,23-46180,2023-10-07 00:00:00+00:00,2023-10-07 00:00:00+00:00,Unknown Cause,1.0,1.0,7.258909,No Comments,2020,44394.96875,1535.67978415336,0
92,2023,CA,CCO,KRN,HOLLOW,23-47784,2023-10-18 00:00:00+00:00,2023-10-18 00:00:00+00:00,Unknown Cause,1.0,1.0,13.32836,No Comments,2020,81629.73046875,1303.98165470329,0
93,2023,CA,CCO,SBC,PLANT,00011307,2023-08-19 00:00:00+00:00,2023-08-31 00:00:00+00:00,Structure,3.0,1.0,5761.521,FIRIS INTEL 12,2020,34771286.984375,52880.1507570325,12
94,2023,CA,CCO,SBC,SUN,00015577,2023-11-09 00:00:00+00:00,2023-11-13 00:00:00+00:00,Lightning,3.0,1.0,211.192,FIRIS INTEL 24,2020,1263209.25390625,6407.74367740057,4
95,2023,CA,CCO,SBC,GRADE,00013773,2023-10-06 00:00:00+00:00,2023-10-07 00:00:00+00:00,Miscellaneous,1.0,1.0,95.66613,No Comments,2020,572195.2265625,5628.22411344363,1
96,2023,CA,CDF,NEU,SCOTT,00016726,2023-06-15 00:00:00+00:00,2023-06-15 00:00:00+00:00,Unknown Cause,1.0,1.0,94.27705,No Comments,2020,729429.28515625,4916.56253133477,0
97,2023,CA,CDF,NEU,PEOIRA,00017574,2023-06-23 00:00:00+00:00,2023-06-23 00:00:00+00:00,Unknown Cause,1.0,1.0,58.00984,No Comments,2020,392011.09375,2779.40065569763,0
98,2023,CA,CDF,NEU,SICARD,00015137,2023-05-30 00:00:00+00:00,2023-05-30 00:00:00+00:00,Structure,1.0,1.0,13.73,No Comments,2020,91543.4140625,1820.06844997656,0
99,2023,CA,CCO,KRN,TULE 2,23-55247,2023-12-03 00:00:00+00:00,2023-12-03 00:00:00+00:00,Unknown Cause,1.0,1.0,3.12156, ,2020,18763.0078125,975.070567845394,0
100,2023,CA,CCO,KRN,RANCHO,23-55468,2023-12-04 00:00:00+00:00,2023-12-04 00:00:00+00:00,Unknown Cause,1.0,1.0,2.2649, ,2020,13228.0,666.591320641136,0
101,2023,CA,CCO,KRN,PINE,23-57131,2023-12-15 00:00:00+00:00,2023-12-16 00:00:00+00:00,Unknown Cause,1.0,1.0,169.973,Crew 11,2020,1041987.03125,5519.3161410333,1
102,2023,CA,CDF,MMU,WHISKEY,00014460,2023-07-03 00:00:00+00:00,2023-07-03 00:00:00+00:00,Lightning,1.0,1.0,83.0,No Comments,2020,528590.0625,3723.28800078224,0
103,2023,CA,CDF,BEU,WILLIAMS,00004739,2023-08-13 00:00:00+00:00,2023-08-16 00:00:00+00:00,Campfire,7.0,1.0,4.5,No Comments,2020,27820.04296875,740.678816912956,3
